Model,Rank,CV_F1,CV_Std,Config
XGBoost,51,0.8213475989324056,0.016079270084590844,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
XGBoost,52,0.8211068620982568,0.028016481108444295,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
XGBoost,53,0.8210075016235582,0.0173973804601498,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
RandomForest,9,0.8209465548052458,0.026900676725296297,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 20, 'n_estimators': 200}"
XGBoost,54,0.8209300017567092,0.018883539272457915,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
XGBoost,55,0.8208975833467805,0.019247357425846472,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
XGBoost,56,0.8208688772713935,0.017079026847804428,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
RandomForest,10,0.8208550095653504,0.01930612154337345,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}"
XGBoost,57,0.8207796341442041,0.017243489496635435,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
XGBoost,58,0.8207303661495912,0.01719443579003284,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 100, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
XGBoost,59,0.8207204405667536,0.024594186874951813,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
RandomForest,11,0.8207073238317892,0.022056856415382832,"{'class_weight': 'balanced', 'max_depth': 25, 'min_samples_split': 20, 'n_estimators': 150}"
XGBoost,60,0.8206899256410894,0.02713935953773119,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
RandomForest,12,0.8206895814537536,0.02870233134321882,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 20, 'n_estimators': 250}"
RandomForest,13,0.8206377658600245,0.02748576057281884,"{'class_weight': 'balanced', 'max_depth': 25, 'min_samples_split': 15, 'n_estimators': 250}"
XGBoost,61,0.8205862676230801,0.01687037733793175,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
XGBoost,62,0.820501357586975,0.022556920466465794,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
XGBoost,63,0.8204988504228924,0.02502954246038796,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
RandomForest,14,0.8204296919285545,0.028795237742227017,"{'class_weight': 'balanced', 'max_depth': 20, 'min_samples_split': 15, 'n_estimators': 150}"
XGBoost,64,0.8203925793299902,0.02427855043256441,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
XGBoost,65,0.8203704035828364,0.0198920973910868,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
RandomForest,15,0.8203628537065473,0.021935520486670138,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 20, 'n_estimators': 150}"
RandomForest,16,0.8201089420651396,0.025002951140610227,"{'class_weight': 'balanced', 'max_depth': 15, 'min_samples_split': 20, 'n_estimators': 100}"
RandomForest,17,0.8200884724731381,0.025123760349066514,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_split': 15, 'n_estimators': 150}"
RandomForest,18,0.8200308105002103,0.028245287380663217,"{'class_weight': 'balanced', 'max_depth': 25, 'min_samples_split': 15, 'n_estimators': 200}"
XGBoost,66,0.8200265571470651,0.027525210870097076,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
XGBoost,67,0.8199636118360638,0.028899400066830006,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
XGBoost,68,0.819932243867233,0.02768708494611331,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
XGBoost,69,0.819923077792474,0.014473025706242463,"{'colsample_bytree': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 300, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
XGBoost,70,0.8198910505891694,0.02538091269120369,"{'colsample_bytree': 0.9, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.8}"
XGBoost,71,0.8198281853081847,0.01762660408871577,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'scale_pos_weight': np.float64(6.102564102564102), 'subsample': 0.9}"
